lemma	status	detail
abafallar	added	manual_verified:despreciar
abanar	added	manual_verified:abanicar
acorrer	added	manual_verified:socorrer
adeus	unresolved	sin equivalente ES seguro
Venus	unresolved	sin equivalente ES seguro
