lemma	status	detail
Venus	rejected	non_recoñecido_ou_sen_conxugacion
abafallar	gl_only	verbo galego sen parella ES-GL
abanar	gl_only	verbo galego sen parella ES-GL
acorrer	gl_only	verbo galego sen parella ES-GL
adeus	rejected	non_recoñecido_ou_sen_conxugacion
